date,equity,peak,dd,year,month
2026-02-04,31499.571166992188,31499.571166992188,0.0,2026,2026-02
2026-02-05,31631.571166992188,31631.571166992188,0.0,2026,2026-02
2026-02-06,31595.571166992188,31631.571166992188,-0.0011381034413354696,2026,2026-02
2026-02-09,31823.571166992188,31823.571166992188,0.0,2026,2026-02
2026-02-10,31949.571166992188,31949.571166992188,0.0,2026,2026-02
2026-02-12,31781.571166992188,31949.571166992188,-0.005258286539181034,2026,2026-02
2026-02-13,31319.571166992188,31949.571166992188,-0.01971857452192871,2026,2026-02
2026-02-16,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-02
2026-02-17,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-02
2026-02-18,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-02
2026-02-19,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-02
2026-02-20,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-02
2026-02-24,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-02
2026-02-25,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-02
2026-02-26,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-02
2026-02-27,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-02
2026-03-02,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-03,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-04,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-05,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-06,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-09,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-10,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-11,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-12,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-13,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-16,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-17,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-18,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
2026-03-19,31175.571166992188,31949.571166992188,-0.024225677269798074,2026,2026-03
